timestamp_ms,vram_mib
24,5253
150,5277
278,5283
404,5283
532,5283
659,5283
789,5283
915,5283
1043,5283
1171,5283
1297,5283
1424,5283
1553,5283
1680,5335
1809,5283
1935,5283
2062,5283
2189,5283
2315,5283
2439,5283
2568,5283
2694,5283
2821,5283
2944,5283
3071,5283
3198,5283
3324,5283
3452,5283
3580,5283
3706,5283
3833,5283
3956,5283
4082,5283
4209,5283
4335,5283
4461,5283
4586,5283
4709,5335
4835,5283
4960,5283
5083,5283
5210,5283
5336,5283
5464,5283
5590,5283
5718,5283
5845,5283
5970,5283
6105,5283
6236,5283
6364,5283
6490,5283
6617,5335
6743,5283
6871,5315
6998,5283
7124,5283
7251,5283
7379,5283
7503,5283
7625,5335
7751,5283
7876,5335
8006,5283
8130,5335
8257,5283
8383,5335
8510,5283
8632,5283
8757,5283
8885,5283
9012,5283
9139,5335
9263,5283
9390,5283
9515,5283
9643,5283
9770,5283
9897,5283
10022,5283
10151,5283
10281,5293
10408,5293
10536,5283
10661,5283
10783,5283
10910,5283
11037,5283
11163,5283
11289,5283
11415,5283
11539,5283
11664,5283
11793,5283
11920,5283
12047,5283
12174,5283
12304,5283
12431,5283
12556,5335
12680,5283
12805,5283
12932,5283
13057,5283
13183,5283
13309,5283
13437,5283
13564,5283
13693,5283
13821,5283
13946,5283
14076,5283
14206,5283
14333,5283
14460,5283
14585,5283
14711,5283
14838,5283
14968,5283
15096,5283
15228,5283
15352,5283
15479,5283
15605,5283
15733,5283
15863,5283
15994,5283
16123,5283
16251,5283
16376,5283
16505,5283
16632,5283
16760,5283
16889,5283
17018,5283
17146,5315
17279,5283
17401,5335
17530,5283
17661,5283
17790,5283
17923,5283
18052,5283
18182,5283
18307,5283
18433,5283
18561,5283
18694,5283
18825,5283
18955,5283
19079,5283
19205,5283
19334,5335
19461,5283
19588,5283
19716,5283
19842,5335
19969,5283
20095,5283
20220,5283
20343,5283
20469,5335
20597,5283
20726,5283
20856,5283
20984,5283
21111,5283
21239,5283
21364,5283
21491,5283
21619,5283
21747,5283
21875,5283
22005,5283
22132,5283
22261,5283
22390,5283
22517,5283
22647,5283
22774,5283
22903,5283
23033,5283
23163,5335
23290,5283
23416,5283
23543,5283
23673,5283
23799,5283
23927,5283
24053,5283
24181,5283
24307,5283
24433,5283
24562,5283
24688,5283
24814,5283
24944,5283
25074,5283
25206,5283
25338,5283
25466,5283
25595,5283
25718,5283
25842,5283
25972,5283
26097,5283
26223,5283
26351,5283
26478,5283
26603,5283
26731,5283
26858,5283
26985,5283
27112,5283
27241,5283
27370,5283
27496,5283
27626,5283
27755,5283
27882,5283
28010,5283
28137,5283
28265,5283
28392,5283
28518,5283
28644,5283
28773,5283
28900,5283
29024,5283
29152,5283
29280,5283
29411,5283
29542,5283
29670,5283
29796,5283
29921,5283
30049,5283
30176,5283
30303,5283
30429,5335
30556,5283
30681,5335
30809,5283
30935,5283
31061,5283
31187,5283
31312,5283
31439,5388
31566,5283
31694,5335
31821,5283
31947,5388
32075,5283
32201,5283
32328,5283
32453,5283
32576,5283
32701,5283
32825,5283
32952,5283
33078,5283
33205,5315
33331,5283
33459,5325
33587,5293
33714,5293
33842,5283
33968,5335
34094,5283
34219,5335
34350,5283
34477,5283
34603,5283
34728,5283
34853,5283
34979,5335
35104,5283
35231,5283
35359,5335
35488,5283
35615,5283
35741,5283
35888,5283
36015,5315
36142,5283
36269,5335
36396,5283
